hole_id;depth_from;depth_to;quality_code100;quality_code110;samp_id
LBU_05_07;21;22;3.3;3.2;
LBU_05_07;22;23;3.3;3.2;
LBU_05_07;23;24;3.3;3.2;
LBU_05_07;24;25;3.3;3.2;
LBU_05_07;25;26;3.3;3.2;
LBU_05_07;26;27;3.3;3.2;
LBU_05_07;27;28;4;4;
LBU_05_07;28;29;4;4;
LBU_05_07;29;30;4;4;
LBU_05_07;30;31;4;4;
LBU_05_07;31;32;4;4;
LBU_05_07;32;33;4;4;
LBU_05_07;33;34;4;4;
LBU_05_07;34;35;4;4;
LBU_05_07;35;36;4;4;
LBU_05_07;36;37;4;4;
LBU_05_07;37;38;4;4;
LBU_05_07;38;39;4;4;
LBU_05_07;39;40;4;4;
LBU_05_07;40;41;4;4;
LBU_05_07;41;42;4;4;
LBU_05_07;42;43;4;4;
LBU_05_07;43;44;4;4;
LBU_05_07;44;45;4;4;
LBU_05_07;45;46;4;4;
LBU_05_07;46;47;4;4;
LBU_05_07;47;48;4;4;
LBU_05_07;48;49;4;4;
LBU_05_07;49;50;4;4;
LBU_05_08;2;3;1;1;
LBU_05_08;3;4;2;2;
LBU_05_08;4;5;2;2;
LBU_05_08;5;6;2;2;
LBU_05_08;6;7;2;2;
LBU_05_08;7;8;2;2;
LBU_05_08;8;9;2;2;
LBU_05_08;9;10;2;2;
LBU_05_08;10;11;2;2;
LBU_05_08;11;12;2;2;
LBU_05_08;12;13;2;2;
LBU_05_08;13;14;2;2;
LBU_05_08;14;15;2;2;
LBU_05_08;15;16;2;2;
LBU_05_08;16;17;3.1;3.1;
LBU_05_08;17;18;3.1;3.1;
LBU_05_08;18;19;3.1;3.25;
LBU_05_08;19;20;3.2;3.2;
LBU_05_08;20;21;3.2;3.2;
LBU_05_08;21;22;3.2;3.2;
LBU_05_08;22;23;3.2;3.2;
LBU_05_08;23;24;3.2;3.2;
LBU_05_08;24;25;3.2;3.2;
LBU_05_08;25;26;3.2;3.2;
LBU_05_08;26;27;3.2;3.2;
LBU_05_08;27;28;3.3;3.2;
LBU_05_08;28;29;3.3;3.2;
LBU_05_08;29;30;3.3;3.2;
LBU_05_08;30;31;3.3;3.2;
LBU_05_08;31;32;3.3;3.2;
LBU_05_08;32;33;3.3;3.2;
LBU_05_08;33;34;3.3;3.3;
LBU_05_08;34;35;3.3;3.3;
LBU_05_08;35;36;4;4;
LBU_05_08;36;37;4;4;
LBU_05_08;37;38;4;4;
LBU_05_08;38;39;4;4;
LBU_05_08;39;40;4;4;
LBU_05_08;40;41;4;4;
LBU_05_08;41;42;4;4;
LBU_05_08;42;43;4;4;
LBU_05_08;43;44;4;4;
LBU_05_08;44;45;4;4;
LBU_05_08;45;46;4;4;
LBU_05_08;46;47;4;4;
LBU_05_08;47;48;4;4;
LBU_05_08;48;49;4;4;
LBU_05_08;49;50;4;4;
LBU_05_09;2;3;1;1;
LBU_05_09;3;4;1;1;
LBU_05_09;4;5;1;1;
LBU_05_09;5;6;1;1;
LBU_05_09;6;7;1;1;
LBU_05_09;7;8;2;2;
LBU_05_09;8;9;2;2;
LBU_05_09;9;10;2;2;
LBU_05_09;10;11;2;2;
LBU_05_09;11;12;2;2;
LBU_05_09;12;13;2;2;
LBU_05_09;13;14;2;2;
LBU_05_09;14;15;2;2;
LBU_05_09;15;16;2;2;
LBU_05_09;16;17;2;2;
LBU_05_09;17;18;2;2;
LBU_05_09;18;19;3.1;3.1;
LBU_05_09;19;20;3.2;3.2;
LBU_05_09;20;21;3.3;3.25;
LBU_05_09;21;22;3.3;3.25;
LBU_05_09;22;23;3.3;3.25;
LBU_05_09;23;24;3.3;3.25;
LBU_05_09;24;25;3.3;3.3;
LBU_05_09;25;26;3.3;3.3;
LBU_05_09;26;27;3.3;3.3;
LBU_05_09;27;28;3.3;3.3;
LBU_05_09;28;29;3.3;3.3;
LBU_05_09;29;30;3.3;3.3;
LBU_05_09;30;31;3.3;3.3;
LBU_05_09;31;32;3.3;3.3;
LBU_05_09;32;33;3.3;3.3;
LBU_05_09;33;34;3.3;3.3;
LBU_05_09;34;35;3.3;3.3;
LBU_05_09;35;36;3.3;3.3;
LBU_05_09;36;37;3.3;3.3;
LBU_05_09;37;38;3.3;3.3;
LBU_05_09;38;39;4;4;
LBU_05_09;39;40;4;4;
LBU_05_09;40;41;4;4;
LBU_05_09;41;42;4;4;
LBU_05_09;42;43;4;4;
LBU_05_09;43;44;4;4;
LBU_05_09;44;45;4;4;
LBU_05_09;45;46;4;4;
LBU_05_09;46;47;4;4;
LBU_05_09;47;48;4;4;
LBU_05_09;48;49;4;4;
LBU_05_09;49;50;4;4;
LBU_05_10;2;3;2;2;
LBU_05_10;3;4;2;2;
LBU_05_10;4;5;2;2;
LBU_05_10;5;6;2;2;
LBU_05_10;6;7;2;2;
LBU_05_10;7;8;2;2;
LBU_05_10;8;9;2;2;
LBU_05_10;9;10;2;2;
LBU_05_10;10;11;2;2;
LBU_05_10;11;12;2;2;
LBU_05_10;12;13;2;2;
LBU_05_10;13;14;2;2;
LBU_05_10;14;15;2;2;
LBU_05_10;15;16;2;2;
LBU_05_10;16;17;2;2;
LBU_05_10;17;18;3.1;3.1;
LBU_05_10;18;19;3.25;3.25;
LBU_05_10;19;20;3.3;3.25;
LBU_05_10;20;21;3.3;3.25;
LBU_05_10;21;22;3.3;3.25;
LBU_05_10;22;23;3.3;3.25;
LBU_05_10;23;24;3.3;3.3;
LBU_05_10;24;25;3.3;3.3;
LBU_05_10;25;26;3.3;3.3;
LBU_05_10;26;27;3.3;3.3;
LBU_05_10;27;28;3.3;3.3;
LBU_05_10;28;29;3.3;3.3;
LBU_05_10;29;30;3.3;3.3;
LBU_05_10;30;31;4;4;
LBU_05_10;31;32;4;4;
LBU_05_10;32;33;4;4;
LBU_05_10;33;34;4;4;
LBU_05_10;34;35;4;4;
LBU_05_10;35;36;4;4;
LBU_05_10;36;37;4;4;
LBU_05_10;37;38;4;4;
LBU_05_10;38;39;4;4;
LBU_05_10;39;40;4;4;
LBU_05_10;40;41;4;4;
LBU_05_10;41;42;4;4;
LBU_05_10;42;43;4;4;
LBU_05_10;43;44;4;4;
LBU_05_10;44;45;4;4;
LBU_05_10;45;46;4;4;
LBU_05_10;46;47;4;4;
LBU_05_10;47;48;4;4;
LBU_05_10;48;49;4;4;
LBU_05_10;49;50;4;4;
LBU_05_11;2;3;1;1;
LBU_05_11;3;4;1;1;
LBU_05_11;4;5;2;2;
LBU_05_11;5;6;2;2;
LBU_05_11;6;7;2;2;
LBU_05_11;7;8;2;2;
LBU_05_11;8;9;2;2;
LBU_05_11;9;10;2;2;
LBU_05_11;10;11;2;2;
LBU_05_11;11;12;2;2;
LBU_05_11;12;13;2;2;
LBU_05_11;13;14;2;2;
LBU_05_11;14;15;2;2;
LBU_05_11;15;16;2;2;
LBU_05_11;16;17;2;2;
LBU_05_11;17;18;3.1;3.1;
LBU_05_11;18;19;3.2;3.25;
LBU_05_11;19;20;3.3;3.25;
LBU_05_11;20;21;3.3;3.25;
LBU_05_11;21;22;3.3;3.25;
LBU_05_11;22;23;3.3;3.25;
LBU_05_11;23;24;3.3;3.25;
LBU_05_11;24;25;3.3;3.25;
LBU_05_11;25;26;3.3;3.3;
LBU_05_11;26;27;3.3;3.3;
LBU_05_11;27;28;3.3;3.3;
LBU_05_11;28;29;3.3;3.3;
