"depth_from";"depth_to";"geol_code100";"hole_id"
29.00;35.00;"GZ";"BRG_96_03"
18.00;27.00;"TZ";"BRG_96_04"
27.00;32.00;"BC";"BRG_96_04"
32.00;45.00;"IZ";"BRG_96_04"
21.00;34.00;"TZ";"BRG_96_05"
34.00;43.00;"IZ";"BRG_96_05"
3.00;11.00;"TZ";"BRG_96_06"
11.00;13.00;"BC";"BRG_96_06"
13.00;21.00;"IZ";"BRG_96_06"
21.00;25.00;"GZ";"BRG_96_06"
16.00;27.00;"TZ";"BRG_96_E04"
27.00;35.00;"BC";"BRG_96_E04"
35.00;45.00;"IZ";"BRG_96_E04"
15.00;29.00;"TZ";"BRG_96_E05"
29.00;35.00;"BC";"BRG_96_E05"
35.00;45.00;"IZ";"BRG_96_E05"
4.00;20.00;"TZ";"BRG_97_01"
20.00;31.00;"IZ";"BRG_97_01"
31.00;35.00;"GZ";"BRG_97_01"
1.00;17.00;"TZ";"BRG_97_02"
17.00;29.00;"IZ";"BRG_97_02"
3.00;13.00;"TZ";"BRG_97_03"
13.00;29.00;"IZ";"BRG_97_03"
2.00;17.00;"TZ";"BRG_97_04"
17.00;29.00;"IZ";"BRG_97_04"
0.00;7.00;"TZ";"BRG_97_05"
7.00;25.00;"IZ";"BRG_97_05"
15.00;23.00;"TZ";"ECO_09_01"
23.00;26.00;"BC";"ECO_09_01"
26.00;36.00;"IZ";"ECO_09_01"
36.00;38.00;"GZ";"ECO_09_01"
15.00;22.00;"TZ";"ECO_09_02"
22.00;24.00;"BC";"ECO_09_02"
24.00;34.00;"IZ";"ECO_09_02"
34.00;35.00;"GZ";"ECO_09_02"
15.00;25.00;"TZ";"ECO_09_03"
25.00;35.00;"IZ";"ECO_09_03"
15.00;22.00;"TZ";"ECO_09_04"
22.00;25.00;"BC";"ECO_09_04"
25.00;32.00;"IZ";"ECO_09_04"
32.00;35.00;"GZ";"ECO_09_04"
15.00;18.00;"TZ";"ECO_09_05"
18.00;38.00;"IZ";"ECO_09_05"
38.00;43.00;"GZ";"ECO_09_05"
